Proposed Name,Current or Former Name,GNIS Feature ID [NEW],Feature Type,State,County,Fed'l Land Mgmt Agency,Review List,Decision Date,CaseStatus,Primary (Mouth) DD Lat,Primary (Mouth) DD Long,Source DD Lat,Source DD Long,USGS Topo Map,Proposed Name,Current or Former Name,GNIS Feature ID [NEW],Feature Type,State,County,Fed'l Land Mgmt Agency,Review List,Decision Date,CaseStatus,Primary (Mouth) DD Lat,Primary (Mouth) DD Long,Source DD Lat,Source DD Long,USGS Topo Map,Proposed Name.1,Current or Former Name.1,GNIS Feature ID [NEW].1,Feature Type.1,State.1,County.1,Fed'l Land Mgmt Agency.1,Review List.1,Decision Date.1,CaseStatus.1,Primary (Mouth) DD Lat.1,Primary (Mouth) DD Long.1,Source DD Lat.1,Source DD Long.1,USGS Topo Map.1
Singing Waters Falls,,2790945.0,falls,NY,Lewis,,430.0,2018-02-08,approved,43.66291,-75.32274,,,Brantingham,Singing Waters Falls,,2790945.0,falls,NY,Lewis,,430.0,2018-02-08,approved,43.66291,-75.32274,,,Brantingham,Singing Waters Falls,,2790945.0,falls,NY,Lewis,,430.0,2018-02-08,approved,43.66291,-75.32274,,,Brantingham
Maloney Peak,Malone Peak,1123722.0,summit,OR,Josephine,BLM,430.0,2018-02-08,approved,42.67625,-123.42745,,,Glendale,Maloney Peak,Malone Peak,1123722.0,summit,OR,Josephine,BLM,430.0,2018-02-08,approved,42.67625,-123.42745,,,Glendale,Maloney Peak,Malone Peak,1123722.0,summit,OR,Josephine,BLM,430.0,2018-02-08,approved,42.67625,-123.42745,,,Glendale
Stephanies Run,,2790946.0,stream,PA,Franklin,,429.0,2018-02-08,approved,40.04813,-77.84486,40.05741,-77.83928,Fannettsburg,Stephanies Run,,2790946.0,stream,PA,Franklin,,429.0,2018-02-08,approved,40.04813,-77.84486,40.05741,-77.83928,Fannettsburg,Stephanies Run,,2790946.0,stream,PA,Franklin,,429.0,2018-02-08,approved,40.04813,-77.84486,40.05741,-77.83928,Fannettsburg
Moore Lake,,2790947.0,lake,TX,Andrews,,427.0,2018-02-08,approved,32.428889,-102.977222,,,Jumbo Hill,Moore Lake,,2790947.0,lake,TX,Andrews,,427.0,2018-02-08,approved,32.428889,-102.977222,,,Jumbo Hill,Moore Lake,,2790947.0,lake,TX,Andrews,,427.0,2018-02-08,approved,32.428889,-102.977222,,,Jumbo Hill
P’da Haū,Garcia River,224039.0,stream,CA,Mendocino,BLM,421.0,2018-03-08,not approved,38.9543533,-123.7336305,38.8965712,-123.3669527,"Point Arena, Gualala, Eureka Hill, Ornbaun Valley",P’da Haū,Garcia River,224039.0,stream,CA,Mendocino,BLM,421.0,2018-03-08,not approved,38.9543533,-123.73363049999999,38.896571200000004,-123.3669527,"Point Arena, Gualala, Eureka Hill, Ornbaun Valley",P’da Haū,Garcia River,224039.0,stream,CA,Mendocino,BLM,421.0,2018-03-08,not approved,38.9543533,-123.7336305,38.8965712,-123.3669527,"Point Arena, Gualala, Eureka Hill, Ornbaun Valley"
North Fork P’da Haū,North Fork Garcia River,229677.0,stream,CA,Mendocino,,421.0,2018-03-08,not approved,38.922963,-123.6239034,38.9191667,-123.5075,Eureka Hill,North Fork P’da Haū,North Fork Garcia River,229677.0,stream,CA,Mendocino,,421.0,2018-03-08,not approved,38.922963,-123.6239034,38.9191667,-123.5075,Eureka Hill,North Fork P’da Haū,North Fork Garcia River,229677.0,stream,CA,Mendocino,,421.0,2018-03-08,not approved,38.922963,-123.6239034,38.9191667,-123.5075,Eureka Hill
South Fork P’da Haū,South Fork Garcia River,235007.0,stream,CA,Mendocino,,421.0,2018-03-08,not approved,38.8562974,-123.563067,38.8525,-123.5222222,Gualala,South Fork P’da Haū,South Fork Garcia River,235007.0,stream,CA,Mendocino,,421.0,2018-03-08,not approved,38.856297399999995,-123.56306699999999,38.8525,-123.5222222,Gualala,South Fork P’da Haū,South Fork Garcia River,235007.0,stream,CA,Mendocino,,421.0,2018-03-08,not approved,38.8562974,-123.563067,38.8525,-123.5222222,Gualala
Avoca River,East Branch West Nishnabotna River,456131.0,stream,IA,"Pottawattamie, Shelby, Audubon, Carroll",,429.0,2018-03-08,not approved,41.44468,-95.35697,41.8729,-94.97291,Avoca + 6 others,Avoca River,East Branch West Nishnabotna River,456131.0,stream,IA,"Pottawattamie, Shelby, Audubon, Carroll",,429.0,2018-03-08,not approved,41.44468,-95.35696999999999,41.8729,-94.97291,Avoca + 6 others,Avoca River,East Branch West Nishnabotna River,456131.0,stream,IA,"Pottawattamie, Shelby, Audubon, Carroll",,429.0,2018-03-08,not approved,41.44468,-95.35697,41.8729,-94.97291,Avoca + 6 others
Mount Hanna,,,summit,NV,Clark,BLM,429.0,2018-03-08,not approved,35.829122,-115.087493,,,Sloan SE,Mount Hanna,,,summit,NV,Clark,BLM,429.0,2018-03-08,not approved,35.829122,-115.087493,,,Sloan SE,Mount Hanna,,,summit,NV,Clark,BLM,429.0,2018-03-08,not approved,35.829122,-115.087493,,,Sloan SE
Mount Sutor,,,summit,NV,Clark,BLM,429.0,2018-03-08,not approved,35.882311,-115.120958,,,Sloan NE,Mount Sutor,,,summit,NV,Clark,BLM,429.0,2018-03-08,not approved,35.882311,-115.120958,,,Sloan NE,Mount Sutor,,,summit,NV,Clark,BLM,429.0,2018-03-08,not approved,35.882311,-115.120958,,,Sloan NE
Wheat Peak,,2791108.0,summit,NV,Churchill,BLM,430.0,2018-03-08,approved,39.301028,-118.611515,,,Bunejug Mountains,Wheat Peak,,2791108.0,summit,NV,Churchill,BLM,430.0,2018-03-08,approved,39.301028,-118.611515,,,Bunejug Mountains,Wheat Peak,,2791108.0,summit,NV,Churchill,BLM,430.0,2018-03-08,approved,39.301028,-118.611515,,,Bunejug Mountains
George Ridge,,2791109.0,ridge,NV,Churchill,BLM,430.0,2018-03-08,approved,39.301028,-118.611515,,,Bunejug Mountains,George Ridge,,2791109.0,ridge,NV,Churchill,BLM,430.0,2018-03-08,approved,39.301028,-118.611515,,,Bunejug Mountains,George Ridge,,2791109.0,ridge,NV,Churchill,BLM,430.0,2018-03-08,approved,39.301028,-118.611515,,,Bunejug Mountains
Constants Creek,Constance Creek,1135440.0,stream,OR,Jackson,,430.0,2018-03-08,approved,42.4840138,-122.8614311,42.5762353,-122.8992127,"Eagle Point, Shady Cove, Boswell Mountain",Constants Creek,Constance Creek,1135440.0,stream,OR,Jackson,,430.0,2018-03-08,approved,42.4840138,-122.8614311,42.57623529999999,-122.8992127,"Eagle Point, Shady Cove, Boswell Mountain",Constants Creek,Constance Creek,1135440.0,stream,OR,Jackson,,430.0,2018-03-08,approved,42.4840138,-122.8614311,42.57623529999999,-122.8992127,"Eagle Point, Shady Cove, Boswell Mountain"
Joppa Mountain,,,summit,TN,Grainger,,429.0,2018-03-08,not approved,36.256678,-83.632692,,,Luttrell,Joppa Mountain,,,summit,TN,Grainger,,429.0,2018-03-08,not approved,36.256678,-83.632692,,,Luttrell,Joppa Mountain,,,summit,TN,Grainger,,429.0,2018-03-08,not approved,36.256678,-83.632692,,,Luttrell
Steffen Creek,,1525054.0,stream,WA,Snohomish,,430.0,2018-03-08,approved,47.833649,-121.968362,47.817701,-121.922206,Monroe,Steffen Creek,,1525054.0,stream,WA,Snohomish,,430.0,2018-03-08,approved,47.833649,-121.96836200000001,47.817701,-121.922206,Monroe,Steffen Creek,,1525054.0,stream,WA,Snohomish,,430.0,2018-03-08,approved,47.833649,-121.968362,47.817701,-121.922206,Monroe
Riley Slough,Riley Slough,1525054.0,stream,WA,Snohomish,,430.0,2018-03-08,approved,47.823988,-122.0131805,47.833649,-121.968362,"Maltby, Monroe",Riley Slough,Riley Slough,1525054.0,stream,WA,Snohomish,,430.0,2018-03-08,approved,47.823988,-122.01318049999999,47.833649,-121.96836200000001,"Maltby, Monroe",Riley Slough,Riley Slough,1525054.0,stream,WA,Snohomish,,430.0,2018-03-08,approved,47.823988,-122.0131805,47.833649,-121.968362,"Maltby, Monroe"
Houle Creek,,2791110.0,stream,WA,Kittitas,FS,430.0,2018-03-08,approved,47.296,-121.29848,47.306304,-121.284583,Stampede Pass,Houle Creek,,2791110.0,stream,WA,Kittitas,FS,430.0,2018-03-08,approved,47.29600000000001,-121.29848,47.306304,-121.28458300000001,Stampede Pass,Houle Creek,,2791110.0,stream,WA,Kittitas,FS,430.0,2018-03-08,approved,47.29600000000001,-121.29848,47.306304,-121.284583,Stampede Pass
Libby Creek,,2791111.0,stream,WA,Thurston,,430.0,2018-03-08,approved,47.1385908,-122.8562515,47.1308543,-122.8704565,Longbranch,Libby Creek,,2791111.0,stream,WA,Thurston,,430.0,2018-03-08,approved,47.1385908,-122.85625149999998,47.130854299999996,-122.87045649999999,Longbranch,Libby Creek,,2791111.0,stream,WA,Thurston,,430.0,2018-03-08,approved,47.1385908,-122.85625149999998,47.1308543,-122.8704565,Longbranch
Eclipse Lake,,,lake,WY,Sublette,FS,429.0,2018-03-08,not approved,43.0613389,-109.569472,,,Fremont Peak South,Eclipse Lake,,,lake,WY,Sublette,FS,429.0,2018-03-08,not approved,43.061338899999996,-109.56947199999999,,,Fremont Peak South,Eclipse Lake,,,lake,WY,Sublette,FS,429.0,2018-03-08,not approved,43.0613389,-109.569472,,,Fremont Peak South
Campesino Corners,Confederate Corners,221451.0,ppl,CA,Monterey,,429.0,2018-04-12,not approved,36.644682,-121.6643902,,,Salinas,Campesino Corners,Confederate Corners,221451.0,ppl,CA,Monterey,,429.0,2018-04-12,not approved,36.644682,-121.6643902,,,Salinas,Campesino Corners,Confederate Corners,221451.0,ppl,CA,Monterey,,429.0,2018-04-12,not approved,36.644682,-121.6643902,,,Salinas
Springtown,Confederate Corners,221451.0,ppl,CA,Monterey,,430.0,2018-04-12,approved,36.644682,-121.6643902,,,Salinas,Springtown,Confederate Corners,221451.0,ppl,CA,Monterey,,430.0,2018-04-12,approved,36.644682,-121.6643902,,,Salinas,Springtown,Confederate Corners,221451.0,ppl,CA,Monterey,,430.0,2018-04-12,approved,36.644682,-121.6643902,,,Salinas
Hungalelti Ridge,Squaw Ridge,267639.0,ridge,CA,"Amador, Alpine",FS,429.0,2018-04-12,approved,38.63699,-120.05624,,,"Caples Lake, Mokelumne Peak, Bear River Reservoir",Hungalelti Ridge,Squaw Ridge,267639.0,ridge,CA,"Amador, Alpine",FS,429.0,2018-04-12,approved,38.636990000000004,-120.05623999999999,,,"Caples Lake, Mokelumne Peak, Bear River Reservoir",Hungalelti Ridge,Squaw Ridge,267639.0,ridge,CA,"Amador, Alpine",FS,429.0,2018-04-12,approved,38.63699,-120.05624,,,"Caples Lake, Mokelumne Peak, Bear River Reservoir"
Wolfpack Creek,,2791360.0,stream,GA,DeKalb,,430.0,2018-04-12,approved,33.78203,-84.31184,33.7754,-84.30347,Northeast Atlanta,Wolfpack Creek,,2791360.0,stream,GA,DeKalb,,430.0,2018-04-12,approved,33.78203,-84.31184,33.7754,-84.30346999999999,Northeast Atlanta,Wolfpack Creek,,2791360.0,stream,GA,DeKalb,,430.0,2018-04-12,approved,33.78203,-84.31184,33.7754,-84.30346999999998,Northeast Atlanta
Lake Lavon,,2791361.0,reservoir,IA,Johnson,,430.0,2018-04-12,approved,41.813463,-91.627942,,,Swisher,Lake Lavon,,2791361.0,reservoir,IA,Johnson,,430.0,2018-04-12,approved,41.813463,-91.627942,,,Swisher,Lake Lavon,,2791361.0,reservoir,IA,Johnson,,430.0,2018-04-12,approved,41.813463,-91.627942,,,Swisher
Baynes Cove,,2791363.0,bay,MD,Baltimore,"NOAA, USACE",430.0,2018-04-12,approved,39.317343,-76.386789,,,Middle River,Baynes Cove,,2791363.0,bay,MD,Baltimore,"NOAA, USACE",430.0,2018-04-12,approved,39.317343,-76.38678900000001,,,Middle River,Baynes Cove,,2791363.0,bay,MD,Baltimore,"NOAA, USACE",430.0,2018-04-12,approved,39.317343,-76.38678900000002,,,Middle River
Lower Steep Run Cave,,,cave,MD,Garrett,,430.0,2018-04-12,approved,39.556691,-79.407141,,,Sang Run,Lower Steep Run Cave,,,cave,MD,Garrett,,430.0,2018-04-12,approved,39.556691,-79.40714100000001,,,Sang Run,Lower Steep Run Cave,,,cave,MD,Garrett,,430.0,2018-04-12,approved,39.556691,-79.40714100000002,,,Sang Run
Sheep Rock,,,pillar,MD,Garrett,,430.0,2018-04-12,not approved,39.54693,-79.39903,,,Sang Run,Sheep Rock,,,pillar,MD,Garrett,,430.0,2018-04-12,not approved,39.546929999999996,-79.39903000000001,,,Sang Run,Sheep Rock,,,pillar,MD,Garrett,,430.0,2018-04-12,not approved,39.54693,-79.39903000000002,,,Sang Run
Bear Town,,,area,MD,Garrett,,430.0,2018-04-12,not approved,39.54455,-79.4045,,,Sang Run,Bear Town,,,area,MD,Garrett,,430.0,2018-04-12,not approved,39.54455,-79.4045,,,Sang Run,Bear Town,,,area,MD,Garrett,,430.0,2018-04-12,not approved,39.54455,-79.4045,,,Sang Run
Sandstone Natural Bridge,,,arch,MD,Garrett,,430.0,2018-04-12,not approved,39.54605,-79.40404,,,Sang Run,Sandstone Natural Bridge,,,arch,MD,Garrett,,430.0,2018-04-12,not approved,39.54605,-79.40404000000001,,,Sang Run,Sandstone Natural Bridge,,,arch,MD,Garrett,,430.0,2018-04-12,not approved,39.54605,-79.40404000000002,,,Sang Run
Sinking Falls,,,falls,MD,Garrett,,430.0,2018-04-12,not approved,39.55685,-79.407,,,Sang Run,Sinking Falls,,,falls,MD,Garrett,,430.0,2018-04-12,not approved,39.55685,-79.407,,,Sang Run,Sinking Falls,,,falls,MD,Garrett,,430.0,2018-04-12,not approved,39.55685,-79.407,,,Sang Run
Steep Run Spring,,,spring,MD,Garrett,,430.0,2018-04-12,not approved,39.556541,-79.407432,,,Sang Run,Steep Run Spring,,,spring,MD,Garrett,,430.0,2018-04-12,not approved,39.556540999999996,-79.407432,,,Sang Run,Steep Run Spring,,,spring,MD,Garrett,,430.0,2018-04-12,not approved,39.556541,-79.407432,,,Sang Run
Ginseng Spring,,,spring,MD,Garrett,,430.0,2018-04-12,not approved,39.557598,-79.405939,,,Sang Run,Ginseng Spring,,,spring,MD,Garrett,,430.0,2018-04-12,not approved,39.557598,-79.405939,,,Sang Run,Ginseng Spring,,,spring,MD,Garrett,,430.0,2018-04-12,not approved,39.557598,-79.405939,,,Sang Run
Ginseng Rock Shelter,,,pillar,MD,Garrett,,430.0,2018-04-12,not approved,39.557768,-79.40442,,,Sang Run,Ginseng Rock Shelter,,,pillar,MD,Garrett,,430.0,2018-04-12,not approved,39.557767999999996,-79.40442,,,Sang Run,Ginseng Rock Shelter,,,pillar,MD,Garrett,,430.0,2018-04-12,not approved,39.557768,-79.40442,,,Sang Run
Wolman Run,,2791362.0,stream,MD,Baltimore,,426.0,2018-04-12,approved,39.481509,-76.693022,39.48631,-76.69275,Cockeysville,Wolman Run,,2791362.0,stream,MD,Baltimore,,426.0,2018-04-12,approved,39.481509,-76.693022,39.486309999999996,-76.69275,Cockeysville,Wolman Run,,2791362.0,stream,MD,Baltimore,,426.0,2018-04-12,approved,39.481509,-76.693022,39.48631,-76.69275,Cockeysville
Camp Buckskins Creek,,2791365.0,stream,MI,Iron,,429.0,2018-04-12,approved,46.04549,-88.26262,46.03521,-88.25052,Crystal Falls,Camp Buckskins Creek,,2791365.0,stream,MI,Iron,,429.0,2018-04-12,approved,46.04549,-88.26262,46.03521,-88.25052,Crystal Falls,Camp Buckskins Creek,,2791365.0,stream,MI,Iron,,429.0,2018-04-12,approved,46.04549,-88.26262,46.03521,-88.25052,Crystal Falls
Engeler Peak,,2791366.0,summit,NV,Humboldt,BLM,430.0,2018-04-12,approved,41.886385,-118.409979,,,Trident Peak,Engeler Peak,,2791366.0,summit,NV,Humboldt,BLM,430.0,2018-04-12,approved,41.886385,-118.409979,,,Trident Peak,Engeler Peak,,2791366.0,summit,NV,Humboldt,BLM,430.0,2018-04-12,approved,41.886385,-118.409979,,,Trident Peak
Háawpa Creek,Squaw Creek,1127483.0,stream,OR,Baker,BLM,405.0,2018-04-12,approved,44.7471053,-117.1482328,44.6938889,-117.1525,Daly Creek,Háawpa Creek,Squaw Creek,1127483.0,stream,OR,Baker,BLM,405.0,2018-04-12,approved,44.747105299999994,-117.1482328,44.6938889,-117.1525,Daly Creek,Háawpa Creek,Squaw Creek,1127483.0,stream,OR,Baker,BLM,405.0,2018-04-12,approved,44.7471053,-117.1482328,44.6938889,-117.1525,Daly Creek
tíkem Falls,Squaw Falls,1127492.0,falls,OR,Wallowa,FS,421.0,2018-04-12,approved,45.9020571,-117.6608705,,,Elbow Creek,tíkem Falls,Squaw Falls,1127492.0,falls,OR,Wallowa,FS,421.0,2018-04-12,approved,45.9020571,-117.6608705,,,Elbow Creek,tíkem Falls,Squaw Falls,1127492.0,falls,OR,Wallowa,FS,421.0,2018-04-12,approved,45.9020571,-117.6608705,,,Elbow Creek
Tekpé Gulch,Squaw Gulch,1130928.0,valley,OR,Baker,BLM,405.0,2018-04-12,approved,44.797222,-117.176,44.830833,-117.1725,Richland,Tekpé Gulch,Squaw Gulch,1130928.0,valley,OR,Baker,BLM,405.0,2018-04-12,approved,44.797222,-117.176,44.830833,-117.1725,Richland,Tekpé Gulch,Squaw Gulch,1130928.0,valley,OR,Baker,BLM,405.0,2018-04-12,approved,44.797222,-117.176,44.830833,-117.1725,Richland
East waqímatáw Creek,East Fork Squaw Creek,1141605.0,stream,OR,Wallowa,FS,421.0,2018-04-12,approved,45.3671015,-116.8795969,45.372935,-116.8334842,Harl Butte,East waqímatáw Creek,East Fork Squaw Creek,1141605.0,stream,OR,Wallowa,FS,421.0,2018-04-12,approved,45.367101500000004,-116.87959690000001,45.372935,-116.8334842,Harl Butte,East waqímatáw Creek,East Fork Squaw Creek,1141605.0,stream,OR,Wallowa,FS,421.0,2018-04-12,approved,45.3671015,-116.8795969,45.372935,-116.8334842,Harl Butte
South waqímatáw Creek,South Fork Squaw Creek,1150021.0,stream,OR,Wallowa,FS,421.0,2018-04-12,approved,45.3671015,-116.8793191,45.3259908,-116.860707,Harl Butte,South waqímatáw Creek,South Fork Squaw Creek,1150021.0,stream,OR,Wallowa,FS,421.0,2018-04-12,approved,45.367101500000004,-116.87931909999999,45.3259908,-116.860707,Harl Butte,South waqímatáw Creek,South Fork Squaw Creek,1150021.0,stream,OR,Wallowa,FS,421.0,2018-04-12,approved,45.3671015,-116.8793191,45.3259908,-116.860707,Harl Butte
Cúuy’em Butte,Squaw Butte,1150223.0,summit,OR,Union,FS,405.0,2018-04-12,approved,45.18066,-117.568946,,,China Cap,Cúuy’em Butte,Squaw Butte,1150223.0,summit,OR,Union,FS,405.0,2018-04-12,approved,45.180659999999996,-117.568946,,,China Cap,Cúuy’em Butte,Squaw Butte,1150223.0,summit,OR,Union,FS,405.0,2018-04-12,approved,45.18066,-117.568946,,,China Cap
taxsāwkt Canyon,Squaw Canyon,1150228.0,valley,OR,Wallowa,BLM,421.0,2018-04-12,approved,45.9623694,-117.4090616,45.9340366,-117.3540578,Troy,taxsāwkt Canyon,Squaw Canyon,1150228.0,valley,OR,Wallowa,BLM,421.0,2018-04-12,approved,45.96236939999999,-117.40906159999999,45.934036600000006,-117.35405779999999,Troy,taxsāwkt Canyon,Squaw Canyon,1150228.0,valley,OR,Wallowa,BLM,421.0,2018-04-12,approved,45.96236939999999,-117.4090616,45.934036600000006,-117.3540578,Troy
Mitáat Hiwéelece Creek,Squaw Creek,1150241.0,stream,OR,Union,FS,405.0,2018-04-12,approved,45.1551465,-117.569652,45.1825,-117.5536111,China Cap,Mitáat Hiwéelece Creek,Squaw Creek,1150241.0,stream,OR,Union,FS,405.0,2018-04-12,approved,45.1551465,-117.569652,45.1825,-117.5536111,China Cap,Mitáat Hiwéelece Creek,Squaw Creek,1150241.0,stream,OR,Union,FS,405.0,2018-04-12,approved,45.1551465,-117.569652,45.1825,-117.5536111,China Cap
waqímatáw Creek,Squaw Creek,1150243.0,stream,OR,Wallowa,FS,421.0,2018-04-12,approved,45.3737681,-116.9062646,45.3677778,-116.8783333,Harl Butte,waqímatáw Creek,Squaw Creek,1150243.0,stream,OR,Wallowa,FS,421.0,2018-04-12,approved,45.37376810000001,-116.9062646,45.3677778,-116.87833329999998,Harl Butte,waqímatáw Creek,Squaw Creek,1150243.0,stream,OR,Wallowa,FS,421.0,2018-04-12,approved,45.37376810000001,-116.9062646,45.3677778,-116.87833329999998,Harl Butte
Pe’ískit Creek,Squaw Creek,1150258.0,stream,OR,"Union, Umatilla",FS,405.0,2018-04-12,approved,45.1337431,-118.5366246,45.0956894,-118.5596803,Sullivan Gulch,Pe’ískit Creek,Squaw Creek,1150258.0,stream,OR,"Union, Umatilla",FS,405.0,2018-04-12,approved,45.133743100000004,-118.53662460000001,45.0956894,-118.55968030000001,Sullivan Gulch,Pe’ískit Creek,Squaw Creek,1150258.0,stream,OR,"Union, Umatilla",FS,405.0,2018-04-12,approved,45.1337431,-118.5366246,45.0956894,-118.5596803,Sullivan Gulch
ípsus tíḿe Creek,Squaw Creek,1150259.0,stream,OR,Wallowa,FS,421.0,2018-04-12,approved,45.1712683,-116.7251474,45.1846014,-116.7709822,White Monument,ípsus tíḿe Creek,Squaw Creek,1150259.0,stream,OR,Wallowa,FS,421.0,2018-04-12,approved,45.171268299999994,-116.72514740000001,45.1846014,-116.77098219999999,White Monument,ípsus tíḿe Creek,Squaw Creek,1150259.0,stream,OR,Wallowa,FS,421.0,2018-04-12,approved,45.1712683,-116.7251474,45.1846014,-116.7709822,White Monument
weelikéecet Creek,Squaw Creek,1150260.0,stream,OR,"Union, Wallowa",FS,421.0,2018-04-12,approved,45.5915333,-117.7293673,45.4790329,-117.6276956,Minam,weelikéecet Creek,Squaw Creek,1150260.0,stream,OR,"Union, Wallowa",FS,421.0,2018-04-12,approved,45.5915333,-117.72936729999999,45.4790329,-117.6276956,Minam,weelikéecet Creek,Squaw Creek,1150260.0,stream,OR,"Union, Wallowa",FS,421.0,2018-04-12,approved,45.5915333,-117.7293673,45.4790329,-117.6276956,Minam
Patúšway Spring,Squaw Spring,1150300.0,spring,OR,Union,FS,405.0,2018-04-12,approved,45.680402,-118.0941734,,,Andies Prairie,Patúšway Spring,Squaw Spring,1150300.0,spring,OR,Union,FS,405.0,2018-04-12,approved,45.680402,-118.09417340000002,,,Andies Prairie,Patúšway Spring,Squaw Spring,1150300.0,spring,OR,Union,FS,405.0,2018-04-12,approved,45.680402,-118.09417340000002,,,Andies Prairie
